id,name,city,category,rating,estimated_cost,duration_hours,popularity,tags,description,latitude,longitude
32,Heritage Roastery Riverside - Ho,Ho Chi Minh,cafe,3.6,103792,2.0,0.45,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,10.785532,106.699022
33,Botanical Garden Premium - Ho,Ho Chi Minh,nature,4.8,74707,2.5,0.79,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,10.840968,106.707657
34,Garden Sip Premium - Ho,Ho Chi Minh,cafe,4.8,116951,0.7,0.49,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,10.885454,106.668487
35,Contemporary Art Space Premium - Ho,Ho Chi Minh,museum,4.0,99276,1.8,0.78,"museum,culture,history",Cultural landmark showcasing local history and art collections.,10.879566,106.630565
36,Sky Lounge Bar - Ho,Ho Chi Minh,nightlife,3.9,432547,2.8,0.3,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",10.866479,106.651638
37,Neon District Old Town - Ho,Ho Chi Minh,nightlife,4.3,389239,3.4,0.38,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",10.894308,106.660263
38,Colonial Archive - Ho,Ho Chi Minh,museum,3.7,68393,2.4,0.39,"museum,culture,history",Cultural landmark showcasing local history and art collections.,10.792421,106.693537
39,Morning Brew Central - Ho,Ho Chi Minh,cafe,3.7,119399,0.9,0.85,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,10.884562,106.61472
40,Ethnology Center Central - Ho,Ho Chi Minh,museum,3.5,43206,2.8,0.82,"museum,culture,history",Cultural landmark showcasing local history and art collections.,10.79625,106.698631
41,BBQ Garden Central - Ho,Ho Chi Minh,food,3.6,106673,1.6,0.63,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,10.775032,106.696652
42,Snorkel Cove Central - Ho,Ho Chi Minh,beach,3.8,58438,2.1,0.53,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",10.881396,106.704402
43,Night Bazaar Riverside - Ho,Ho Chi Minh,nightlife,4.8,309546,3.4,0.53,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",10.747516,106.690026
44,Neon District Riverside - Ho,Ho Chi Minh,nightlife,4.4,239180,2.1,0.54,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",10.868929,106.619523
45,Misty Hills Riverside - Ho,Ho Chi Minh,nature,4.6,49828,2.8,0.3,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,10.891192,106.635852
46,Riverside Dining Old Town - Ho,Ho Chi Minh,food,4.9,86686,2.4,0.74,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,10.849242,106.56964
47,Cocktail Harbor Premium - Ho,Ho Chi Minh,nightlife,4.1,449643,2.8,0.51,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",10.763466,106.616971
48,Craft Village Riverside - Ho,Ho Chi Minh,shopping,4.3,298375,1.6,0.3,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",10.789006,106.618482
49,Coastal Promenade Old Town - Ha,Ha Noi,beach,4.3,115909,4.7,0.86,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",21.102073,105.891954
50,Lake View Park Riverside - Ha,Ha Noi,nature,4.0,174025,3.9,0.87,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,21.068682,105.881847
51,Seafood Harbor Central - Ha,Ha Noi,food,5.0,62805,1.1,0.73,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,21.071458,105.847067
52,Traditional Kitchen Old Town - Ha,Ha Noi,food,4.5,259533,1.4,0.3,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,21.068654,105.897407
53,Misty Hills Central - Ha,Ha Noi,nature,4.5,46107,4.4,0.63,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,21.037685,105.920995
54,Bamboo Grove Central - Ha,Ha Noi,nature,5.0,121803,4.0,0.72,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,21.100506,105.916828
55,Modern Plaza Old Town - Ha,Ha Noi,shopping,4.8,470395,1.3,0.62,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",21.068784,105.908578
56,Cocktail Harbor Old Town - Ha,Ha Noi,nightlife,4.2,428596,2.5,0.8,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",20.986019,105.827936
57,Sunrise Peak Central - Ha,Ha Noi,nature,3.7,60623,3.1,0.45,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,21.014879,105.827141
58,Paragliding Point - Ha,Ha Noi,adventure,4.1,366881,5.3,0.84,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,21.09987,105.777325
59,Heritage Shop Street - Ha,Ha Noi,shopping,4.6,494268,1.7,0.9,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",21.101049,105.841243
60,Fusion Bistro Central - Ha,Ha Noi,food,3.5,193096,1.7,0.54,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,21.057163,105.838891
61,Cultural Pavilion Central - Ha,Ha Noi,museum,4.9,101560,2.3,0.71,"museum,culture,history",Cultural landmark showcasing local history and art collections.,21.05458,105.787632
62,Craft Village Old Town - Ha,Ha Noi,shopping,4.1,95278,1.1,0.45,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",21.000795,105.895997
63,Souvenir Lane Old Town - Ha,Ha Noi,shopping,4.2,132262,2.7,0.82,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",20.956834,105.926507
64,Night Market Bites - Ha,Ha Noi,food,3.8,66268,2.4,0.31,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,20.972881,105.794395
65,Mountain Lookout Central - Ha,Ha Noi,nature,4.7,121905,4.1,0.42,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,21.04566,105.893868
66,Sunrise Peak Premium - Ha,Ha Noi,nature,4.9,28337,3.7,0.7,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,21.093784,105.834249
67,Night Market Bites Riverside - Ha,Ha Noi,food,4.5,378855,1.4,0.51,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,21.057981,105.903084
68,Morning Brew Riverside - Ha,Ha Noi,cafe,3.6,86148,1.5,0.75,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,20.950524,105.841409
69,Kayak River Tour Old Town - Ha,Ha Noi,adventure,4.7,529781,4.5,0.8,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,21.018178,105.891607
70,Urban Night Walk Riverside - Ha,Ha Noi,nightlife,4.2,506135,3.0,0.81,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",20.991443,105.910474
71,Lake View Park Old Town - Ha,Ha Noi,nature,4.4,63927,4.3,0.77,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,21.002323,105.853289
72,Sunset Shore Old Town - Ha,Ha Noi,beach,3.9,55605,3.4,0.5,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",21.043885,105.915017
73,Garden Sip Central - Da,Da Nang,cafe,4.1,41221,0.9,0.69,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,16.012852,108.198375
74,Jungle Trek - Da,Da Nang,adventure,4.1,247573,3.2,0.47,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,16.080634,108.181243
75,Blue Lagoon Riverside - Da,Da Nang,beach,4.2,86714,3.4,0.51,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",16.011286,108.237605
76,Coral Bay Riverside - Da,Da Nang,beach,3.8,249266,5.0,0.45,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",16.051872,108.238134
77,Rooftop Jazz Club Central - Da,Da Nang,nightlife,3.8,255318,2.5,0.31,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",16.059862,108.16609
78,Garden Sip Premium - Da,Da Nang,cafe,4.5,121411,1.9,0.83,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,15.990814,108.124162
79,Late Night Bistro Old Town - Da,Da Nang,nightlife,4.9,330932,2.7,0.48,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",16.112276,108.140454
80,Misty Hills Old Town - Da,Da Nang,nature,4.5,19420,3.7,0.41,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,16.104183,108.27406
81,Botanical Garden - Da,Da Nang,nature,4.4,146295,4.3,0.85,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,16.01051,108.205812
82,Jungle Trek Premium - Da,Da Nang,adventure,4.0,767113,6.0,0.73,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,16.071941,108.240614
83,Seafood Harbor Premium - Da,Da Nang,food,3.9,396254,1.1,0.69,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,15.999445,108.187563
84,Rock Climbing Wall - Da,Da Nang,adventure,3.9,392720,3.2,0.9,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,15.985789,108.159548
85,Urban Night Walk Central - Da,Da Nang,nightlife,3.8,322895,2.2,0.4,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",16.016901,108.144958
86,La Viet Coffee Premium - Da,Da Nang,cafe,4.4,107993,1.6,0.5,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,15.994297,108.232388
87,Souvenir Lane Riverside - Da,Da Nang,shopping,3.6,283105,2.0,0.33,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",16.043525,108.173771
88,Sky Lounge Bar - Da,Da Nang,nightlife,4.8,220022,3.9,0.7,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",16.126526,108.282132
89,Urban Night Walk - Da,Da Nang,nightlife,4.2,500088,3.5,0.76,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",16.120972,108.151238
90,Heritage Shop Street - Da,Da Nang,shopping,4.0,246420,1.7,0.77,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",16.111637,108.174969
91,Rock Climbing Wall Old Town - Da,Da Nang,adventure,3.6,726818,2.1,0.48,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,15.992947,108.245808
92,Garden Sip Old Town - Da,Da Nang,cafe,4.3,84165,0.6,0.74,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,16.054159,108.192927
93,Cong Caphe Premium - Da,Da Nang,cafe,3.9,101987,0.7,0.92,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,16.051954,108.126819
94,Local Pho House Premium - Da,Da Nang,food,4.1,338798,1.0,0.46,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,16.109025,108.140354
95,Sunrise Peak Old Town - Da,Da Nang,nature,4.6,187853,2.9,0.59,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,16.0516,108.197755
96,Cable Car Adventure Central - Da,Da Nang,adventure,4.4,552219,2.8,0.82,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,15.996241,108.13337
97,Local Artisan Mall Riverside - Nha,Nha Trang,shopping,3.9,140075,2.6,0.51,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",12.25271,109.276524
98,Canyon Trek Old Town - Nha,Nha Trang,adventure,4.0,714742,3.9,0.83,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,12.219154,109.265956
99,Seafood Harbor Riverside - Nha,Nha Trang,food,4.7,250787,1.4,0.33,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,12.277953,109.229536
100,Weekend Fair Central - Nha,Nha Trang,shopping,3.7,259694,2.9,0.98,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",12.211919,109.132758
101,Kayak River Tour Riverside - Nha,Nha Trang,adventure,3.7,629123,2.1,0.91,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,12.313993,109.128673
102,Night Bazaar Riverside - Nha,Nha Trang,nightlife,3.6,463176,2.8,0.53,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",12.266697,109.20208
103,Coastal Promenade Riverside - Nha,Nha Trang,beach,3.9,9410,4.5,0.78,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",12.204781,109.153098
104,Misty Hills - Nha,Nha Trang,nature,4.8,199326,3.9,0.61,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,12.26984,109.261248
105,Morning Brew - Nha,Nha Trang,cafe,4.1,68452,1.0,0.47,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,12.224728,109.225788
106,War Remnants Exhibit Central - Nha,Nha Trang,museum,4.1,30350,2.4,0.78,"museum,culture,history",Cultural landmark showcasing local history and art collections.,12.238427,109.210005
107,Fusion Bistro Premium - Nha,Nha Trang,food,3.5,290947,1.4,0.86,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,12.302994,109.225118
108,Fine Arts Gallery Old Town - Nha,Nha Trang,museum,3.9,65293,3.0,0.97,"museum,culture,history",Cultural landmark showcasing local history and art collections.,12.26925,109.189794
109,Live Music Venue Old Town - Nha,Nha Trang,nightlife,3.9,547393,3.0,0.7,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",12.25077,109.275531
110,Sky Lounge Bar Old Town - Nha,Nha Trang,nightlife,4.8,243906,2.0,0.84,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",12.314576,109.262399
111,Rock Climbing Wall Central - Nha,Nha Trang,adventure,3.8,786553,5.2,0.43,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,12.1989,109.237592
112,Fine Arts Gallery - Nha,Nha Trang,museum,3.6,60492,2.7,0.56,"museum,culture,history",Cultural landmark showcasing local history and art collections.,12.179826,109.26224
113,Blue Lagoon Central - Nha,Nha Trang,beach,4.3,52637,2.5,0.98,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",12.243736,109.262858
114,Contemporary Art Space Old Town - Nha,Nha Trang,museum,4.0,58684,2.6,0.38,"museum,culture,history",Cultural landmark showcasing local history and art collections.,12.312863,109.139221
115,Traditional Kitchen Riverside - Nha,Nha Trang,food,4.1,241771,1.1,0.49,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,12.178574,109.175674
116,Urban Night Walk Old Town - Nha,Nha Trang,nightlife,4.1,531183,3.3,0.77,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",12.234236,109.215827
117,Hidden Cove Central - Nha,Nha Trang,beach,4.7,169778,2.3,0.94,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",12.20715,109.182027
118,History Museum - Nha,Nha Trang,museum,3.7,59893,3.0,0.46,"museum,culture,history",Cultural landmark showcasing local history and art collections.,12.244807,109.178883
119,Surf Spot Old Town - Nha,Nha Trang,beach,3.7,153967,5.0,0.59,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",12.174643,109.194996
120,Souvenir Lane - Nha,Nha Trang,shopping,4.2,361905,1.7,0.97,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",12.295672,109.132597
121,Bamboo Grove Central - Ho,Ho Chi Minh,nature,3.8,36868,3.9,0.92,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,10.753041,106.617507
122,Craft Village Central - Da,Da Lat,shopping,4.3,43912,2.1,0.8,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",11.969225,108.442928
123,Hidden Cove Central - Phu,Phu Quoc,beach,4.5,94194,3.0,0.45,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",10.305398,103.870442
124,Heritage Shop Street Old Town - Hue,Hue,shopping,4.4,453167,1.1,0.62,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",16.446241,107.615338
125,Sunset Shore - Ho,Ho Chi Minh,beach,3.8,23233,2.2,0.46,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",10.783408,106.562767
126,Local Artisan Mall Old Town - Da,Da Nang,shopping,4.2,467314,1.7,0.56,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",16.011426,108.165386
127,Cocktail Harbor Central - Ho,Ho Chi Minh,nightlife,4.2,483060,4.0,0.75,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",10.823542,106.659538
128,Heritage Roastery Old Town - Da,Da Lat,cafe,4.1,38675,0.8,0.96,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,11.998982,108.427202
129,Zipline Canopy Tour Central - Phu,Phu Quoc,adventure,3.9,508607,5.0,0.68,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,10.298806,103.935687
130,Seafood Harbor Central - Hue,Hue,food,4.3,97662,2.1,0.9,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,16.447642,107.569599
131,Local Artisan Mall Riverside - Hue,Hue,shopping,4.4,275392,2.1,0.98,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",16.483039,107.560689
132,Sunset Shore Premium - Ho,Ho Chi Minh,beach,3.9,46460,3.6,0.97,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",10.871378,106.592142
133,Souvenir Lane - Ha,Ha Noi,shopping,4.4,110131,1.7,0.41,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",21.093025,105.917589
134,Street Food Alley Premium - Da,Da Lat,food,3.7,240306,2.3,0.88,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,11.902277,108.388689
135,Weekend Fair Premium - Ho,Ho Chi Minh,shopping,5.0,309291,2.5,0.39,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",10.811292,106.637969
136,Kayak River Tour - Nha,Nha Trang,adventure,4.6,460922,4.9,0.58,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,12.270753,109.179747
137,Craft Village Central - Phu,Phu Quoc,shopping,3.6,41028,2.2,0.46,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",10.088087,103.864199
138,The Married Beans Premium - Da,Da Lat,cafe,4.8,39287,1.3,0.49,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,11.93252,108.460885
139,Espresso Corner Riverside - Phu,Phu Quoc,cafe,3.8,42704,1.5,0.55,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,10.164441,104.022767
140,Central Market Riverside - Da,Da Lat,shopping,4.6,449741,2.7,0.47,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",11.882336,108.447292
141,Night Bazaar Riverside - Hue,Hue,nightlife,3.9,279046,2.9,0.9,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",16.467516,107.563035
142,Craft Village Central - Da,Da Lat,shopping,4.1,282370,1.4,0.58,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",11.859968,108.436846
143,Live Music Venue Old Town - Hue,Hue,nightlife,4.1,710311,2.3,0.51,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",16.488435,107.594751
144,Riverside Dining Premium - Da,Da Lat,food,4.4,313638,2.4,0.67,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,11.85967,108.456174
145,Fashion District Central - Ha,Ha Noi,shopping,4.1,496766,2.1,0.71,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",20.955961,105.783117
146,Snorkel Cove Old Town - Hoi,Hoi An,beach,3.9,108752,2.5,0.75,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",15.878289,108.356451
147,Hidden Waterfall - Ho,Ho Chi Minh,nature,5.0,36209,2.6,0.45,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,10.77978,106.699322
148,Garden Sip Old Town - Ho,Ho Chi Minh,cafe,3.7,101200,1.6,0.73,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,10.888085,106.654636
149,ATV Trail Central - Da,Da Lat,adventure,3.9,362235,5.0,0.41,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,11.897899,108.411594
150,Morning Brew - Hoi,Hoi An,cafe,4.2,36658,0.6,0.6,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,15.871067,108.310177
151,Weekend Fair - Ha,Ha Noi,shopping,4.6,324076,1.0,0.35,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",21.082466,105.914629
152,Traditional Kitchen Riverside - Da,Da Lat,food,3.7,211616,1.5,0.95,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,12.015273,108.385984
153,Cong Caphe Premium - Hoi,Hoi An,cafe,4.0,103385,1.8,0.58,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,15.884826,108.317728
154,Sky Lounge Bar Riverside - Da,Da Nang,nightlife,3.5,548321,3.6,0.59,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",16.080486,108.24496
155,Golden Sand Beach Premium - Da,Da Nang,beach,4.1,15151,5.0,0.46,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",16.102488,108.198252
156,Cong Caphe Premium - Nha,Nha Trang,cafe,4.5,82227,1.0,0.91,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,12.315033,109.16466
157,Riverside Dining Premium - Hue,Hue,food,4.8,186951,1.3,0.97,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,16.453273,107.566504
158,Night Market Bites Riverside - Hue,Hue,food,4.4,318132,1.2,0.93,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,16.449504,107.562663
159,Lake View Park Old Town - Hue,Hue,nature,4.1,96559,3.7,0.76,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,16.446231,107.614003
